,M4T200,M4T400,M4T800,M4T1600,M4T3200,M8T200,M8T400,M8T800,M8T1600,M8T3200,M16T200,M16T400,M16T800,M16T1600,M32T200,M32T400,M32T800,M32T1600,M64T200,M64T400
M4T200,1.0,0.9872611464968153,0.9872611464968153,0.9809523809523809,0.9746835443037974,0.9872611464968153,0.9872611464968153,0.9872611464968153,0.9746835443037974,0.9746835443037974,0.9872611464968153,0.9872611464968153,0.9809523809523809,0.9746835443037974,0.9872611464968153,0.9872611464968153,0.9746835443037974,0.9746835443037974,0.9872611464968153,0.9872611464968153
M4T400,0.9872611464968153,1.0,1.0,0.9936102236421726,0.9872611464968153,1.0,1.0,1.0,0.9872611464968153,0.9872611464968153,1.0,1.0,0.9936102236421726,0.9872611464968153,1.0,1.0,0.9872611464968153,0.9872611464968153,1.0,1.0
M4T800,0.9872611464968153,1.0,1.0,0.9936102236421726,0.9872611464968153,1.0,1.0,1.0,0.9872611464968153,0.9872611464968153,1.0,1.0,0.9936102236421726,0.9872611464968153,1.0,1.0,0.9872611464968153,0.9872611464968153,1.0,1.0
M4T1600,0.9809523809523809,0.9936102236421726,0.9936102236421726,1.0,0.9936102236421726,0.9936102236421726,0.9936102236421726,0.9936102236421726,0.9936102236421726,0.9936102236421726,0.9936102236421726,0.9936102236421726,1.0,0.9936102236421726,0.9936102236421726,0.9936102236421726,0.9936102236421726,0.9936102236421726,0.9936102236421726,0.9936102236421726
M4T3200,0.9746835443037974,0.9872611464968153,0.9872611464968153,0.9936102236421726,1.0,0.9872611464968153,0.9872611464968153,0.9872611464968153,1.0,1.0,0.9872611464968153,0.9872611464968153,0.9936102236421726,1.0,0.9872611464968153,0.9872611464968153,1.0,1.0,0.9872611464968153,0.9872611464968153
M8T200,0.9872611464968153,1.0,1.0,0.9936102236421726,0.9872611464968153,1.0,1.0,1.0,0.9872611464968153,0.9872611464968153,1.0,1.0,0.9936102236421726,0.9872611464968153,1.0,1.0,0.9872611464968153,0.9872611464968153,1.0,1.0
M8T400,0.9872611464968153,1.0,1.0,0.9936102236421726,0.9872611464968153,1.0,1.0,1.0,0.9872611464968153,0.9872611464968153,1.0,1.0,0.9936102236421726,0.9872611464968153,1.0,1.0,0.9872611464968153,0.9872611464968153,1.0,1.0
M8T800,0.9872611464968153,1.0,1.0,0.9936102236421726,0.9872611464968153,1.0,1.0,1.0,0.9872611464968153,0.9872611464968153,1.0,1.0,0.9936102236421726,0.9872611464968153,1.0,1.0,0.9872611464968153,0.9872611464968153,1.0,1.0
M8T1600,0.9746835443037974,0.9872611464968153,0.9872611464968153,0.9936102236421726,1.0,0.9872611464968153,0.9872611464968153,0.9872611464968153,1.0,1.0,0.9872611464968153,0.9872611464968153,0.9936102236421726,1.0,0.9872611464968153,0.9872611464968153,1.0,1.0,0.9872611464968153,0.9872611464968153
M8T3200,0.9746835443037974,0.9872611464968153,0.9872611464968153,0.9936102236421726,1.0,0.9872611464968153,0.9872611464968153,0.9872611464968153,1.0,1.0,0.9872611464968153,0.9872611464968153,0.9936102236421726,1.0,0.9872611464968153,0.9872611464968153,1.0,1.0,0.9872611464968153,0.9872611464968153
M16T200,0.9872611464968153,1.0,1.0,0.9936102236421726,0.9872611464968153,1.0,1.0,1.0,0.9872611464968153,0.9872611464968153,1.0,1.0,0.9936102236421726,0.9872611464968153,1.0,1.0,0.9872611464968153,0.9872611464968153,1.0,1.0
M16T400,0.9872611464968153,1.0,1.0,0.9936102236421726,0.9872611464968153,1.0,1.0,1.0,0.9872611464968153,0.9872611464968153,1.0,1.0,0.9936102236421726,0.9872611464968153,1.0,1.0,0.9872611464968153,0.9872611464968153,1.0,1.0
M16T800,0.9809523809523809,0.9936102236421726,0.9936102236421726,1.0,0.9936102236421726,0.9936102236421726,0.9936102236421726,0.9936102236421726,0.9936102236421726,0.9936102236421726,0.9936102236421726,0.9936102236421726,1.0,0.9936102236421726,0.9936102236421726,0.9936102236421726,0.9936102236421726,0.9936102236421726,0.9936102236421726,0.9936102236421726
M16T1600,0.9746835443037974,0.9872611464968153,0.9872611464968153,0.9936102236421726,1.0,0.9872611464968153,0.9872611464968153,0.9872611464968153,1.0,1.0,0.9872611464968153,0.9872611464968153,0.9936102236421726,1.0,0.9872611464968153,0.9872611464968153,1.0,1.0,0.9872611464968153,0.9872611464968153
M32T200,0.9872611464968153,1.0,1.0,0.9936102236421726,0.9872611464968153,1.0,1.0,1.0,0.9872611464968153,0.9872611464968153,1.0,1.0,0.9936102236421726,0.9872611464968153,1.0,1.0,0.9872611464968153,0.9872611464968153,1.0,1.0
