,M4T200,M4T400,M4T800,M4T1600,M4T3200,M8T200,M8T400,M8T800,M8T1600,M8T3200,M16T200,M16T400,M16T800,M16T1600,M32T200,M32T400,M32T800,M32T1600,M64T200,M64T400,M64T800,M64T1600
M16T200,0.9817073170731707,0.9877675840978594,0.9817073170731707,0.9817073170731707,0.9817073170731707,0.9817073170731707,1.0,0.9817073170731707,0.9817073170731707,0.9817073170731707,1.0,0.9817073170731707,0.9817073170731707,0.9817073170731707,1.0,1.0,0.9817073170731707,0.9817073170731707,1.0,0.9817073170731707,0.9817073170731707,0.9817073170731707
M16T400,0.9877675840978594,0.9817073170731707,0.9817073170731707,0.9817073170731707,0.9817073170731707,1.0,0.9817073170731707,0.9817073170731707,0.9817073170731707,0.9817073170731707,0.9817073170731707,1.0,0.9817073170731707,0.9817073170731707,0.9817073170731707,0.9817073170731707,0.9817073170731707,0.9817073170731707,0.9817073170731707,1.0,0.9817073170731707,0.9817073170731707
M16T800,0.9817073170731707,0.9817073170731707,0.9938650306748467,0.9938650306748467,0.9938650306748467,0.9817073170731707,0.9817073170731707,1.0,0.9938650306748467,0.9938650306748467,0.9817073170731707,0.9817073170731707,1.0,1.0,0.9817073170731707,0.9817073170731707,1.0,0.9938650306748467,0.9817073170731707,0.9817073170731707,1.0,0.9938650306748467
M16T1600,0.9817073170731707,0.9817073170731707,0.9938650306748467,0.9938650306748467,0.9938650306748467,0.9817073170731707,0.9817073170731707,1.0,0.9938650306748467,0.9938650306748467,0.9817073170731707,0.9817073170731707,1.0,1.0,0.9817073170731707,0.9817073170731707,1.0,0.9938650306748467,0.9817073170731707,0.9817073170731707,1.0,0.9938650306748467
M32T200,0.9817073170731707,0.9877675840978594,0.9817073170731707,0.9817073170731707,0.9817073170731707,0.9817073170731707,1.0,0.9817073170731707,0.9817073170731707,0.9817073170731707,1.0,0.9817073170731707,0.9817073170731707,0.9817073170731707,1.0,1.0,0.9817073170731707,0.9817073170731707,1.0,0.9817073170731707,0.9817073170731707,0.9817073170731707
M32T400,0.9817073170731707,0.9877675840978594,0.9817073170731707,0.9817073170731707,0.9817073170731707,0.9817073170731707,1.0,0.9817073170731707,0.9817073170731707,0.9817073170731707,1.0,0.9817073170731707,0.9817073170731707,0.9817073170731707,1.0,1.0,0.9817073170731707,0.9817073170731707,1.0,0.9817073170731707,0.9817073170731707,0.9817073170731707
M32T800,0.9817073170731707,0.9817073170731707,0.9938650306748467,0.9938650306748467,0.9938650306748467,0.9817073170731707,0.9817073170731707,1.0,0.9938650306748467,0.9938650306748467,0.9817073170731707,0.9817073170731707,1.0,1.0,0.9817073170731707,0.9817073170731707,1.0,0.9938650306748467,0.9817073170731707,0.9817073170731707,1.0,0.9938650306748467
M32T1600,0.9817073170731707,0.9817073170731707,0.9938650306748467,1.0,1.0,0.9817073170731707,0.9817073170731707,0.9938650306748467,1.0,1.0,0.9817073170731707,0.9817073170731707,0.9938650306748467,0.9938650306748467,0.9817073170731707,0.9817073170731707,0.9938650306748467,1.0,0.9817073170731707,0.9817073170731707,0.9938650306748467,1.0
M64T200,0.9817073170731707,0.9877675840978594,0.9817073170731707,0.9817073170731707,0.9817073170731707,0.9817073170731707,1.0,0.9817073170731707,0.9817073170731707,0.9817073170731707,1.0,0.9817073170731707,0.9817073170731707,0.9817073170731707,1.0,1.0,0.9817073170731707,0.9817073170731707,1.0,0.9817073170731707,0.9817073170731707,0.9817073170731707
M64T400,0.9877675840978594,0.9817073170731707,0.9817073170731707,0.9817073170731707,0.9817073170731707,1.0,0.9817073170731707,0.9817073170731707,0.9817073170731707,0.9817073170731707,0.9817073170731707,1.0,0.9817073170731707,0.9817073170731707,0.9817073170731707,0.9817073170731707,0.9817073170731707,0.9817073170731707,0.9817073170731707,1.0,0.9817073170731707,0.9817073170731707
M64T800,0.9817073170731707,0.9817073170731707,0.9938650306748467,0.9938650306748467,0.9938650306748467,0.9817073170731707,0.9817073170731707,1.0,0.9938650306748467,0.9938650306748467,0.9817073170731707,0.9817073170731707,1.0,1.0,0.9817073170731707,0.9817073170731707,1.0,0.9938650306748467,0.9817073170731707,0.9817073170731707,1.0,0.9938650306748467
M64T1600,0.9817073170731707,0.9817073170731707,0.9938650306748467,1.0,1.0,0.9817073170731707,0.9817073170731707,0.9938650306748467,1.0,1.0,0.9817073170731707,0.9817073170731707,0.9938650306748467,0.9938650306748467,0.9817073170731707,0.9817073170731707,0.9938650306748467,1.0,0.9817073170731707,0.9817073170731707,0.9938650306748467,1.0
